quero comprar alguma coisa,Comprar
desejo comprar um not,Comprar
quero um not,Comprar
quero comprar um not,Comprar
quero comprar um notebook,Comprar
quero comprar um computador,Comprar
quero um pc,Comprar
quero comprar algo,Comprar
quero fazer compras,Comprar
quero realizar uma compra,Comprar
efetuar uma compra,Comprar
comprar uma maquina,Comprar
quero uma maquina,Comprar
quero comprar um pc novo,Comprar
quero comprar um computador novo,Comprar
quero comprar algo novo,Comprar
desejo comprar algo,Comprar
quero fazer uma compra,Comprar
qual seu email,Contato
como entrar em contato com voces,Contato
qual email de voces,Contato
qual o numero de voces,Contato
como ligo pra voces,Contato
qual numero para contato,Contato
como faço para entrar em contatos com vocês,Contato
qual seu numero,Contato
qual o numero que falo com voces,Contato
qual sua localização,Endereço
como chego ate a loja,Endereço
aonde fica a loja,Endereço
qual a localização da loja,Endereço
Qual o endereço de voces,Endereço
qual seu endereco,Endereço
onde fica a loja,Endereço
vocês fazem garantia?,Garantia
o computador vem com garantia?,Garantia
o pc vem com garantia?,Garantia
A mercadoria possui garantia?,Garantia
ninhum,Nada
nenhum,Nada
nao quero nenhum deles,Nada
nao quero nenhum destes ai,Nada
nai quero nada,Nada
nenhuum,Nada
nenhum desses dois,Nada
nenhum desses ai,Nada
nenhum deles,Nada
nao quero,NaoQueroNovaCompra
não quero,NaoQueroNovaCompra
n quero,NaoQueroNovaCompra
nao,NaoQueroNovaCompra
não,NaoQueroNovaCompra
não obrigado,NaoQueroNovaCompra
not,NaoQueroNovaCompra
no,NaoQueroNovaCompra
naoo,NaoQueroNovaCompra
nn,NaoQueroNovaCompra
ñ,NaoQueroNovaCompra
quero  o acer i3,Notebook_i3
acho que quero o i3,Notebook_i3
acer i3,Notebook_i3
quero comprar o i3,Notebook_i3
quero o mais barato,Notebook_i3
gostei do i3,Notebook_i3
vou levar o i3,Notebook_i3
quero o i3,Notebook_i3
o i3,Notebook_i3
reserva tbm o notebook i5,Notebook_I5
vou comprar tambem o i5,Notebook_I5
reserva tambem o i5,Notebook_I5
vou levar tambem o i5,Notebook_I5
quero o notebook i5,Notebook_I5
o de processador i5,Notebook_I5
o i5,Notebook_I5
quero o computador i7,Notebook_i7
quero o i7,Notebook_i7
quero o mais caro,Notebook_i7
vou querer o i7,Notebook_i7
vou levar o i7,Notebook_i7
o i7,Notebook_i7
pode acrescentar o i7,Notebook_i7
quando chega mais coisa,Novos_Produtos
quando chega novos produtos,Novos_Produtos
quando tera novos computadores,Novos_Produtos
quando  terá novidades,Novos_Produtos
quando vai ter novidade,Novos_Produtos
e novos produtos?,Novos_Produtos
quando chega novos computadores,Novos_Produtos
quando chega novos notebooks,Novos_Produtos
novos notebook,Novos_Produtos
novidades,Novos_Produtos
novos produtos,Novos_Produtos
vai se fuder,Ofensas
vai a puta que te pariu,Ofensas
seu merda,Ofensas
toma no cu,Ofensas
desgraçado,Ofensas
seu lixo,Ofensas
desgrassado,Ofensas
vai toma no seu cu,Ofensas
vai a merda,Ofensas
bot lixo,Ofensas
seu merdinha,Ofensas
bot do cacete,Ofensas
chat bot é o caralho,Ofensas
disgrama,Ofensas
vagabundo,Ofensas
seu rabo,Ofensas
vai pro inferno,Ofensas
sua porra,Ofensas
caralho,Ofensas
poha,Ofensas
seu bosta,Ofensas
Iai,Olá
Oii,Olá
Ooi,Olá
Eae,Olá
Opa,Olá
Oopa,Olá
Iae,Olá
oin,Olá
oiin,Olá
ola,Olá
Oi,Olá
Olá,Olá
como faço para pagar o boleto,Pagamento
quais as formas de pagamento,Pagamento
voces aceitam cartao?,Pagamento
posso pagar no carne?,Pagamento
voces fazem carne?,Pagamento
aceitam cartao?,Pagamento
qual o tipo de pagamento,Pagamento
qual o pagamento,Pagamento
como faço para pagar a conta,Pagamento
como pagar,Pagamento
qual a forma de pagamento,Pagamento
como e feito o pagamento,Pagamento
ponto de referencia porfavor,PontosReferencia
qual o ponto de referencia,PontosReferencia
me fala um ponto de referencia,PontosReferencia
ponto de referencia?,PontosReferencia
me passa um ponto de referencia,PontosReferencia
quem e voces,QuemSomos
me fale sobre voces,QuemSomos
quem voces são,QuemSomos
o que e Duckdamn,QuemSomos
quem são voces?,QuemSomos
quem sao duckdamn,QuemSomos
o que e essa empresa,QuemSomos
siim,QueroNovaCompra
s,QueroNovaCompra
sim,QueroNovaCompra
ss,QueroNovaCompra
desejoo,QueroNovaCompra
Desejo,QueroNovaCompra
queroo,QueroNovaCompra
Quero,QueroNovaCompra
simm,QueroNovaCompra
os três,Todos
quero todos eles,Todos
quero todos os que estão disponiveis,Todos
todos que estao disponiveis,Todos
quero comprar todos eles,Todos
vou comprar todos eles,Todos
vou comprar tudo,Todos
vou querer os três,Todos
vou querer os 3,Todos
quero todos os 03,Todos
quero todos,Todos
tudos,Todos
todos,Todos
todos eles,Todos
vou levar,Todos
todos os disponiveis,Todos
todos esses ai,Todos
tudo,Todos
comprarei todos,Todos
vou comprar todos,Todos
quero comprar tudo,Todos
Qual o valor final,Valor_Final
quanto que deu,Valor_Final
quanto que vou ter que pagar,Valor_Final
qual o preço final,Valor_Final
quanto que da,Valor_Final
quanto que vai ficar tudo,Valor_Final
qual o valor da compra,Valor_Final
qual o valor,Valor_Final
"Ok. Obrigado, xau",Xau
xauzinho,Xau
por nada xau,Xau
obrigado xau,Xau
xaau,Xau
thau,Xau
tchau,Xau
adeus,Xau
até mais,Xau
xau,Xau
Ok. obrigado,Xau
obrigada xau,Xau
"Tudo bem, obrigado",Xau
obrigada,Xau
até logo,Xau
até a proxima,Xau
xaaau,Xau
Tudo bem obrigada,Xau
